strain_i,strain_j,meta_r,clade_i,clade_j,pair_type
AKI,SACE_YCK,0.04591401546919972,M3. Mosaic region 3,26. Asian fermentation,Different clade
AKI,SACE_YCM,0.03703163705192451,M3. Mosaic region 3,24. Asian islands,Different clade
AKI,SACE_YCR,0.05454534653558649,M3. Mosaic region 3,18. Far East Asia,Different clade
AKI,SACE_YCU,0.048067476875979606,M3. Mosaic region 3,23. North American oak,Different clade
AKM,AFE,0.011603129512519083,19. Malaysian,8. Mixed origin,Different clade
AKM,AKH,0.0826266917026021,19. Malaysian,13. African palm wine,Different clade
AKM,AKI,0.07276306818553245,19. Malaysian,M3. Mosaic region 3,Different clade
AKM,AMP,0.05771739412147351,19. Malaysian,M1. Mosaic region 1,Different clade
AKM,ANG,0.10848521481208932,19. Malaysian,23. North American oak,Different clade
AKM,ANN,0.11585851062735106,19. Malaysian,12. West African cocoa,Different clade
AKM,ATS,0.03261276500028294,19. Malaysian,8. Mixed origin,Different clade
AKM,BAF,0.09060653203561327,19. Malaysian,13. African palm wine,Different clade
AKM,BAG,0.05078083115235491,19. Malaysian,15. CHNII,Different clade
AKM,BAI,0.1061050201196385,19. Malaysian,18. Far East Asia,Different clade
AKM,BAK,0.10508974959332974,19. Malaysian,18. Far East Asia,Different clade
AKM,BAL,0.10592354702888236,19. Malaysian,16. CHNI,Different clade
AKM,BAM,0.08688847303493534,19. Malaysian,14. CHNIII,Different clade
AKM,BAN,0.11340825554700706,19. Malaysian,20. CHN V,Different clade
AKM,BAP,0.08856993212968817,19. Malaysian,20. CHN V,Different clade
AKM,BBQ,0.07248924416266804,19. Malaysian,4. Mediterranean oak,Different clade
AKM,BCK,0.07550942846401522,19. Malaysian,10. French Guiana human,Different clade
AKM,BDB,0.032237177849261535,19. Malaysian,M2. Mosaic region 2,Different clade
AKM,BDP,0.06213358760674529,19. Malaysian,10. French Guiana human,Different clade
AKM,BEF,0.07056671607424761,19. Malaysian,26. Asian fermentation,Different clade
AKM,BFH,0.07101890554738302,19. Malaysian,5. French dairy,Different clade
AKM,BFP,0.07241546582484674,19. Malaysian,4. Mediterranean oak,Different clade
AKM,BGD,0.008758127745377757,19. Malaysian,5. French dairy,Different clade
AKM,BGF,0.048852965920555574,19. Malaysian,5. French dairy,Different clade
AKM,BHG,0.06535623348852765,19. Malaysian,M2. Mosaic region 2,Different clade
AKM,BHK,0.09053038015537315,19. Malaysian,M1. Mosaic region 1,Different clade
AKM,BHM,0.02076850478781484,19. Malaysian,M1. Mosaic region 1,Different clade
AKM,BHQ,0.12289099746550848,19. Malaysian,26. Asian fermentation,Different clade
AKM,BMA,0.14641397956336108,19. Malaysian,19. Malaysian,Same clade
AKM,BMB,0.15002450019386396,19. Malaysian,19. Malaysian,Same clade
AKM,BMC,0.11347856469646071,19. Malaysian,19. Malaysian,Same clade
AKM,BNC,0.0659674081783848,19. Malaysian,10. French Guiana human,Different clade
