"gene","correlation","cor_category","mean_expr_bulk","mean_expr_sc","log_mean_expr"
"YDR261C",-0.070980826175046,"low (<0.4)",42.1619868426182,14.9391927218216,5.43168937171556
"YDR262W",0.613072154041848,"moderate (0.4-0.7)",105.895595025813,19.8396606897652,6.74005859320401
"YDR263C",0.224702323752977,"low (<0.4)",11.6145047493796,2.57679556141578,3.65701166151552
"YDR335W",0.0109486451989389,"low (<0.4)",66.6436135781147,32.8127398153788,6.07988182666326
"YDR336W",-0.000688208434843355,"low (<0.4)",22.0364835074338,9.73175562044167,4.52584860274493
"YDR337W",0.423259107048309,"moderate (0.4-0.7)",92.699845271004,21.2603141625631,6.54997476041388
"YDR338C",0.248585108910481,"low (<0.4)",24.8360723383977,10.8326687548791,4.69131485963262
"YDR339C",0.138181093740051,"low (<0.4)",149.875614115455,58.3948926321996,7.23721583303021
"YDR341C",0.125550943304544,"low (<0.4)",194.989044420834,101.801705219443,7.61462920125051
"YDR346C",0.106314007699648,"low (<0.4)",197.82124414179,97.1662047585068,7.63532810754278
"YDR347W",0.198553763283803,"low (<0.4)",129.955442091013,30.500619979103,7.03293220451918
"YDR348C",0.285194082177667,"low (<0.4)",78.3334116070908,26.5074074688278,6.30985668601249
"YDR389W",0.0381369222921201,"low (<0.4)",46.9675184183392,18.0676816051791,5.58398589906793
"YDR390C",-0.0902181357813858,"low (<0.4)",51.0996135457505,14.7430391422544,5.70320076609178
"YDR391C",0.286981103082854,"low (<0.4)",137.24423930126,68.5818576948349,7.11107555374529
"YDR392W",0.224424334400425,"low (<0.4)",54.6897056158512,17.5024820049092,5.79933876123976
"YDR393W",0.212985381608603,"low (<0.4)",41.1006047754059,18.871928933517,5.39576905264963
"YDR399W",0.285025655628889,"low (<0.4)",317.345920692045,54.3996027895755,8.31445146731495
"YDR400W",0.493507173807695,"moderate (0.4-0.7)",82.5098804731953,33.7513726313404,6.3838749950655
"YDR440W",0.109764306372443,"low (<0.4)",18.6086458738216,8.44522143710679,4.29341800478887
"YDR441C",0.695161041783224,"moderate (0.4-0.7)",52.4929643430943,20.3238599268912,5.74127724855429
"YDR510W",0.33168963446529,"low (<0.4)",523.937235772855,217.219354835059,9.03600112673953
"YDR511W",0.103400785815289,"low (<0.4)",106.88805613887,30.5417802490137,6.75339134836345
"YDR512C",0.28772025701938,"low (<0.4)",106.7796876106,42.0296743798891,6.75194150010369
"YDR518W",0.573863630398708,"moderate (0.4-0.7)",61.8691065812473,23.6483223468527,5.97427935633422
"YDR519W",0.685768960974179,"moderate (0.4-0.7)",234.472664708305,142.632772779904,7.879415781338
"YDR520C",-0.0713026707540532,"low (<0.4)",15.9153712987163,5.1919609224096,4.08026294006169
"YDR522C",0.0116895720923952,"low (<0.4)",2.38664958541306,0.054862400396098,1.75985871976979
