"gene","name","n_strains_fit","mean_r2","median_r2","sd_r2","mean_amp","sd_amp","cv_amp","amp_range","mean_peak","sd_peak","n_strains_total","n_not_detected","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_z","sd_r2_p","cv_amp_null_mean","cv_amp_z","cv_amp_p","sd_peak_null_mean","sd_peak_z","sd_peak_p","sd_r2_p_fdr","cv_amp_p_fdr","sd_peak_p_fdr","r2_adj_pooled","cycles","sig_any","class","which_phenotype","peak_spread_min","amp_spread"
"YGR279C","SCW4",74,0.322610046597473,0.317784654016639,0.137611218020952,0.941754498945253,0.328446195600815,0.348759890150425,1.47551324817645,71.6794229609109,6.04686708971612,74,0,1,0.818540557469464,0.0791921139257289,7.15068219932226,0.00199600798403194,0.160871780541692,8.3466639998611,0.00199600798403194,3.18565297508989,3.22553742582009,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.29339235387454,TRUE,TRUE,"cycling, varies between strains","structure amplitude timing",6.04686708971612,1.47551324817645
"YLL022C","HIF1",74,0.142594476299192,0.143803981451965,0.0690137488821083,0.325172024722766,0.143838649604478,0.442346323387172,0.681134122176988,25.8162895537143,6.0453470373346,74,0,1,0.358158471656749,0.0726487573721847,-0.413695918729867,0.654690618762475,0.301368185358315,3.79201891939288,0.00399201596806387,3.98394373357737,2.87728117353559,0.00998003992015968,0.766059122630651,0.0160351565776011,0.0472322681369933,0.146101162848499,TRUE,TRUE,"cycling, varies between strains","amplitude",6.0453470373346,0.681134122176988
"YLR049C","MLO50",74,0.205130171067005,0.208388671584043,0.107614542679052,0.292068468225488,0.121921747899467,0.417442350556441,0.5939170879194,12.9210849213881,6.04461180114738,74,0,1,0.168243031631694,0.0801748869353989,3.14048989114576,0.00798403193612774,0.268903320302743,4.49605111406418,0.00199600798403194,3.43580886074552,4.40327348005143,0.00199600798403194,0.0669538116748958,0.0100430717512344,0.0164498589028839,0.197624041533826,TRUE,TRUE,"cycling, varies between strains","amplitude timing",6.04461180114738,0.5939170879194
"YPL241C","CIN2",74,0.139638792662286,0.140981048212893,0.0832729834802655,0.257647825376179,0.130227220675666,0.505446612970738,0.465509160451009,27.3985403373664,5.97155348838047,74,0,1,0.239022862511744,0.0701614044978711,1.54695209397974,0.06187624750499,0.297781048148853,5.96860403172135,0.00199600798403194,4.27981399804382,2.72094082014018,0.0159680638722555,0.238522954091816,0.0100430717512344,0.0652370472729754,0.139107238395398,TRUE,TRUE,"cycling, varies between strains","amplitude",5.97155348838047,0.465509160451009
"YMR179W","SPT21",74,0.207353438087325,0.209966919610651,0.0874368594065858,0.263462467259777,0.102971471850372,0.390839245230482,0.517624559955438,19.3002013497644,5.92433662881309,74,0,1,0.158534293767617,0.0835327002520224,0.454789117550907,0.315369261477046,0.274129484978703,3.57635378907472,0.00399201596806387,2.93298885567975,5.21642107169261,0.00199600798403194,0.500818960086472,0.0160351565776011,0.0164498589028839,0.203055625295531,TRUE,TRUE,"cycling, varies between strains","amplitude timing",5.92433662881309,0.517624559955438
"YNL273W","TOF1",74,0.169741622546945,0.172767559734659,0.0977375236937113,0.2848502478528,0.0932783475740215,0.327464512589171,0.502143935473616,21.5776263948925,5.8985603061249,74,0,1,0.207203257124961,0.0787768838148926,2.1337399203863,0.0259481037924152,0.266038746150274,1.78552175855931,0.0439121756487026,3.53114274641277,4.37607892711767,0.00199600798403194,0.149436067623789,0.0994787675833168,0.0164498589028839,0.179155775007628,TRUE,TRUE,"cycling, varies between strains","",5.8985603061249,0.502143935473616
"YLR254C","NDL1",74,0.18763167119159,0.184944008893843,0.0918299720567096,0.307105324470513,0.13053873291488,0.425061770387553,0.524773257780553,82.8414701443364,5.82121266093124,74,0,1,0.217350454118384,0.0823224076802311,0.96698392402857,0.177644710578842,0.285780464728453,3.96236314438348,0.00199600798403194,3.85745085993599,3.01777449433631,0.00598802395209581,0.386793979608351,0.0100430717512344,0.0336738288129623,0.173694364756146,TRUE,TRUE,"cycling, varies between strains","amplitude",5.82121266093124,0.524773257780553
"YER001W","MNN1",74,0.209190136833395,0.210854242833377,0.103672267907482,0.433145715522836,0.221123729858026,0.510506561495397,1.13334450824826,27.9064657900813,5.81088970759616,74,0,1,0.287942373943,0.0749208225469256,3.2296686251841,0.00598802395209581,0.249405987007978,7.71998212558568,0.00199600798403194,3.26644948143763,4.29553160158589,0.00199600798403194,0.0561230480216039,0.0100430717512344,0.0164498589028839,0.180646410419204,TRUE,TRUE,"cycling, varies between strains","amplitude timing",5.81088970759616,1.13334450824826
"YDL101C","DUN1",74,0.147530629125056,0.141199007688525,0.0854579804104622,0.257245758007082,0.128684049401556,0.500237789724849,0.938021592280127,26.9098723692311,5.71382128932453,74,0,1,0.226683369871594,0.077887977894245,0.80970812615245,0.197604790419162,0.314182747446893,5.20058922255058,0.00199600798403194,3.37336139818138,2.8763703563549,0.0119760479041916,0.403654230001535,0.0100430717512344,0.0535004756841457,0.153954881693609,TRUE,TRUE,"cycling, varies between strains","amplitude",5.71382128932453,0.938021592280127
"YKR077W","MSA2",74,0.209031622571215,0.215724127314161,0.115568438089869,0.239639391630709,0.106583249476623,0.444765147963948,0.445860015108078,14.0909688432681,5.58194508663099,74,0,1,0.130786094581898,0.0858145533846079,3.40103268988178,0.00199600798403194,0.295863281521727,4.28436141600026,0.00199600798403194,2.78586931283055,4.45752067866777,0.00199600798403194,0.029815369261477,0.0100430717512344,0.0164498589028839,0.210208585315821,TRUE,TRUE,"cycling, varies between strains","structure amplitude timing",5.58194508663099,0.445860015108078
