"gene","name","n_strains_fit","mean_r2","median_r2","sd_r2","mean_amp","sd_amp","cv_amp","amp_range","mean_peak","sd_peak","n_strains_total","n_not_detected","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_z","sd_r2_p","cv_amp_null_mean","cv_amp_z","cv_amp_p","sd_peak_null_mean","sd_peak_z","sd_peak_p","sd_r2_p_fdr","cv_amp_p_fdr","sd_peak_p_fdr"
"YLL022C","HIF1",74,0.142594476299192,0.143803981451965,0.0690137488821083,0.325172024722766,0.143838649604478,0.442346323387172,0.681134122176988,25.8162895537143,6.0453470373346,74,0,1,0.358158471656749,0.0726487573721847,-0.413695918729867,0.654690618762475,0.301368185358315,3.79201891939288,0.00399201596806387,3.98394373357737,2.87728117353559,0.00998003992015968,0.766059122630651,0.0160351565776011,0.0472322681369933
"YOL019W","YOL019W",74,0.0883772481442934,0.0852042739444832,0.0679785961340374,0.167349179082439,0.0914277688379186,0.54632935362581,0.40866509745547,18.6873323295458,12.8435657996295,74,0,1,0.172251800814281,0.0575071257580938,1.19632106121535,0.117764471057884,0.416236061860862,2.84055968612677,0.00998003992015968,7.74207238930782,5.65179385707176,0.00199600798403194,0.329189574068238,0.0315924442505717,0.0164498589028839
"YJR154W","YJR154W",35,-0.000817101442409474,0.00131634986482165,0.0149140264410754,0.00367599469738913,0.00529093751228997,1.43932131241861,0.0200714981941171,22.2582235589099,22.5261790925933,74,39,0.472972972972973,0.00400876918258691,0.0174145248258909,-0.289454215423984,0.499001996007984,1.74472940949478,-0.715868436526143,0.758483033932136,19.0498233307828,2.51204781664647,0.0119760479041916,0.657088027801147,0.818408330066729,0.0535004756841457
"YLR231C","BNA5",74,0.00361749793135144,-0.000562087206720685,0.0407548266140242,0.0246521313164681,0.0431044872383494,1.74850955826099,0.214743719751143,48.210072723375,22.7352431125413,74,0,1,0.101284058878797,0.034315367060006,0.780931402543194,0.18562874251497,1.81528310807249,-0.248006483580978,0.546906187624751,29.8950059960125,-1.98530382908085,1,0.394357950765136,0.627691984452148,1
"YIL132C","CSM2",69,0.00624760262926089,0.00618463286960746,0.0258307650316565,0.0208365353145322,0.0268247765278577,1.2873914075892,0.145591863000417,25.5129629056035,14.9396616006808,74,5,0.932432432432432,0.041716254306295,0.0323152286999158,-0.891639092177991,0.854291417165669,1.17342736102375,0.846558887270058,0.181636726546906,13.9842664778937,0.760510798688351,0.235528942115768,0.89945219692773,0.282808974884108,0.390912619206032
"YLR135W","SLX4",74,0.0156239725852464,0.0095880720124219,0.032698738817963,0.028471948751043,0.0422259708485474,1.48307273301763,0.234142471258945,27.8258604732537,17.5193785990517,74,0,1,0.0721578452865644,0.0360579336850011,-0.409885610179864,0.586826347305389,1.21552128190947,1.86183296788921,0.0399201596806387,16.1060457077594,1.08075993950152,0.139720558882236,0.726691694331544,0.0926302734337151,0.29421333544365
"YNL300W","TOS6",74,0.717365573481775,0.735165916972346,0.117115568675524,2.75118838010821,0.368040345436317,0.133775043576566,2.5920771989028,29.013550939537,1.19094718168915,74,0,1,0.463012840588788,0.0638873917961413,6.60331335857298,0.00199600798403194,0.0648621460710963,8.13383869214718,0.00199600798403194,0.853003835223826,3.16508246239062,0.00598802395209581,0.029815369261477,0.0100430717512344,0.0336738288129623
"YDL101C","DUN1",74,0.147530629125056,0.141199007688525,0.0854579804104622,0.257245758007082,0.128684049401556,0.500237789724849,0.938021592280127,26.9098723692311,5.71382128932453,74,0,1,0.226683369871594,0.077887977894245,0.80970812615245,0.197604790419162,0.314182747446893,5.20058922255058,0.00199600798403194,3.37336139818138,2.8763703563549,0.0119760479041916,0.403654230001535,0.0100430717512344,0.0535004756841457
"YKR091W","SRL3",74,0.0172032903243443,0.00901993300266557,0.045375329476682,0.0592316707258165,0.0686490771036292,1.15899275273537,0.292515348062516,28.5366262802984,20.7183866872486,74,0,1,0.119824616348262,0.0397915212253121,0.594084115267948,0.19560878243513,1.32761992252602,-0.959787957172529,0.874251497005988,20.4834783561025,0.186699513046324,0.405189620758483,0.401291836927004,0.914424979362937,0.56139315571755
"YDL095W","PMT1",74,0.075301193062629,0.0646183771174773,0.0761289482632125,0.293953785769548,0.152051885569456,0.517264593723111,0.674148087042202,31.1141047081564,9.20742485759028,74,0,1,0.630316316943313,0.055214009632498,2.68367397486926,0.0199600798403194,0.461853395244842,1.19169004062708,0.107784431137725,8.73985621075777,0.655119536297481,0.253493013972056,0.130697509091406,0.193687812345234,0.405249701266364
"YDL093W","PMT5",74,0.0259214183183835,0.019061955405493,0.0379545231219276,0.0671866042244044,0.0552538429049007,0.822393742662629,0.202386396873158,28.3223753379169,9.07220061831727,74,0,1,0.116692765424366,0.0430798055585147,-0.602165690760374,0.694610778443114,0.76375648953007,0.782723004179991,0.187624750499002,10.8449260795326,-1.83926988408718,0.964071856287425,0.788655468161065,0.290241523425641,1
"YKR090W","PXL1",74,0.0408243071199325,0.0317017312197084,0.0494333431276528,0.0954252392150445,0.0728710932922961,0.763645906384141,0.322364379810636,24.7189134444647,10.107666025622,74,0,1,0.180645161290323,0.0504913474926615,-0.125077196343814,0.508982035928144,0.677310216544354,1.3608147204767,0.0918163672654691,8.55304636249613,1.35169911097711,0.093812375249501,0.657549765334196,0.17415961727339,0.227625966341429
"YLR050C","EMA19",74,0.23744055346414,0.237466291054558,0.0876346775312989,0.687607974306307,0.20737014237567,0.301581933491791,1.25526899631142,27.9050911780379,3.66776287008887,74,0,1,0.520889445662386,0.0765052791167904,1.31282899784568,0.0978043912175649,0.188253009528531,4.02484662366361,0.00199600798403194,3.40347678266664,0.563416022122364,0.289421157684631,0.297773878993605,0.0100430717512344,0.450629685254897
"YDR461W","MFA1",37,-0.00225241139559352,-0.00283065205081301,0.0142567762796668,0.019219650890734,0.0766045921152521,3.9857431620771,0.454817574948169,62.6398587943931,24.5065313887439,74,37,0.5,0.00770435327278422,0.0303460861598963,-1.37823714117989,0.992015968063872,1.77628919195954,4.87341426607206,0.00399201596806387,24.4815104725183,0.0104139136227732,0.461077844311377,0.998188496955668,0.0160351565776011,0.608826545803421
