"gene","name","r2_pooled","r2_adj","amp","amp1_db","peak","p_periodic","pct_nonzero","is_spellman","fdr_periodic"
"RPS7B","RPS7B",0.136046944730473,0.135776265785906,0.174239940745544,0.0959292310807557,32,0,0.9903538991544,FALSE,0
"YOL017W","ESC8",0.135961892394217,0.135691186802511,0.228788226810716,0.192969181360983,22,0,0.115314751017852,TRUE,0
"HYP2","HYP2",0.135535314500681,0.13526447526091,0.156332475371354,0.154565583127097,68,0,0.99880989664892,FALSE,0
"MRC1","MRC1",0.135002194462533,0.134731188194741,0.252693915508479,0.227859135022688,21,0,0.163921077356718,FALSE,0
"YDR309C","GIC2",0.131087854393875,0.130815621752229,0.326818299489684,0.271998901054394,19,0,0.204885687441278,TRUE,0
"YBL039C","URA7",0.130706975752692,0.130434623780686,0.216960826272661,0.144965311882932,24,0,0.883244597557156,FALSE,0
"HPT1","HPT1",0.130074626518048,0.129802076429233,0.476581392469262,0.339436147511825,27,0,0.927153147510179,FALSE,0
"YPR156C","TPO3",0.129506031107583,0.129233302876211,0.31723625830197,0.290733416716061,76,0,0.222048230504228,TRUE,0
"YEL026W","SNU13",0.128729346638938,0.128456375070118,0.163696328461689,0.139221441331308,71,0,0.988098966489195,FALSE,0
"YGR282C","BGL2",0.128541375163053,0.128268344702235,0.523600808719832,0.520155822537096,56,0,0.980770435327278,FALSE,0
"YDR222W","YDR222W",0.128325870750261,0.1280527727713,0.417304127149995,0.325935648973539,31,0,0.247792045098653,FALSE,0
"SPT16","SPT16",0.128260480648939,0.127987362183073,0.431971641697278,0.415322713171459,23,0,0.620920764171625,FALSE,0
"CLB1","CLB1",0.12815960059111,0.127886450519235,0.320228873093498,0.320117191182374,62,0,0.224929533354212,FALSE,0
"RPS24B","RPS24B",0.127880951188375,0.127607713814851,0.0803746766607243,0,29,0,0.991606639523959,FALSE,0
"PMP3","PMP3",0.127814731123371,0.127541473002914,0.439970999414096,0.432403320121152,62,0,0.975258377701221,FALSE,0
"CDC19","CDC19",0.12737657175319,0.127103176356158,0.149079049136564,0.0821680669413707,73,0,0.992922016911995,FALSE,0
"RPL6A","RPL6A",0.127129534854571,0.126856062060177,0.13989664216266,0.0915086765294177,70,0,0.997243971186972,FALSE,0
"CCW14","CCW14",0.127085011026244,0.126811524282408,0.536099032124285,0.500858061718311,55,0,0.968430942687128,FALSE,0
"FUN12","FUN12",0.126888193573512,0.12661464516621,0.213645061314624,0.145424068859569,22,0,0.939116818039461,FALSE,0
"SUR4","SUR4",0.126211904400301,0.125938144109682,0.527728354429764,0.402055250327755,31,0,0.894832445975572,FALSE,0
"RPP2A","RPP2A",0.126127912915515,0.125854126310124,0.134619007957482,0.0776619646462137,72,0,0.994738490447855,FALSE,0
"TUB2","TUB2",0.125953087532434,0.125679246153754,0.533282577492863,0.516180879145977,44,0,0.846727215784529,FALSE,0
"PIR3","PIR3",0.125767104750706,0.125493205103094,0.199948615935993,0.135741452920357,6,0,0.0798621985593486,FALSE,0
"CYC3","CYC3",0.125413134681703,0.125139124134263,0.475810129583098,0.397036316504391,1,0,0.538678358910116,FALSE,0
"SPC110","SPC110",0.125319904461627,0.125045864704895,0.373902415125425,0.301251156462061,30,0,0.263639210773567,FALSE,0
"YJR092W","BUD4",0.124751329459019,0.124477111566125,0.313993266796963,0.307435153444102,70,0,0.239210773567178,TRUE,0
"YBR025C","OLA1",0.124695192366172,0.124420956885366,0.183958667322252,0.157334526962497,21,0,0.965173817726276,FALSE,0
"RPL1A","RPL1A",0.123118289745726,0.122843560216854,0.132115893184082,0.0874536204525057,34,0,0.964547447541497,FALSE,0
"YLR437C","DIF1",0.122671281733514,0.122396412155763,0.559067222634862,0.536919681622186,52,0,0.672157845286564,TRUE,0
"YMR002W","MIX17",0.122052211670797,0.121777148136638,0.547897778858995,0.478209980026074,59,0,0.939931099279674,TRUE,0
"YLR044C","PDC1",0.121095284036518,0.120819920694215,0.178811640660905,0.167536427174241,76,0,0.99968681490761,FALSE,0
"YLR045C","STU2",0.121056139861204,0.12078076425492,0.377421751429982,0.359748929393858,38,0,0.270216097713749,TRUE,0
"RPS0A","RPS0A",0.121006625360978,0.12073123424166,0.14237414998211,0.0352195580755396,71,0,0.979016598809897,FALSE,0
"HSC82","HSC82",0.120937003224539,0.120661590292408,0.149581534238229,0.114829540584838,76,0,0.988600062637018,FALSE,0
"RPS8A","RPS8A",0.120439347646527,0.120163778797491,0.116172533798887,0.0711505388973675,36,0,0.987472596304416,FALSE,0
"YNL082W","PMS1",0.12038618252335,0.12011059701753,0.215083580222451,0.196506564889794,21,0,0.133855308487316,TRUE,0
"EFB1","EFB1",0.119556388054313,0.119280542571531,0.146101428175705,0.109897541025684,68,0,0.998559348575008,FALSE,0
"YPL237W","SUI3",0.119471711395211,0.119195839382991,0.14971196337595,0.104385096042771,79,0,0.962856248042593,FALSE,0
"YBR067C","TIP1",0.119436122780265,0.119160239618031,0.844765856751959,0.717034774160863,7,0,0.31055433761353,TRUE,0
"URA5","URA5",0.119260413322609,0.118984475110103,0.184611232186125,0.183845406119336,72,0,0.946320075164422,FALSE,0
"YHR128W","FUR1",0.118756657045576,0.118480561004798,0.165679288722109,0.147647401577906,18,0,0.932477294080802,FALSE,0
"RPS8B","RPS8B",0.11841100305655,0.118134798721396,0.162839103959689,0.131299655603507,40,0,0.985342937676167,FALSE,0
"RLF2","RLF2",0.118069830769569,0.117793519544169,0.250200328623214,0.236983776796798,19,0,0.209520826808644,FALSE,0
"YDR050C","TPI1",0.117954911630904,0.117678564401012,0.306165502210521,0.302252309524803,57,0,0.991982461634826,FALSE,0
"SUP45","SUP45",0.117670999883705,0.117394563703457,0.140576952716547,0.102791102885983,77,0,0.93736298152208,FALSE,0
"RPP0","RPP0",0.116870901967529,0.116594215114333,0.14272892350016,0.109329346759482,72,0,0.997431882242405,FALSE,0
"RNH201","RNH201",0.116631188589191,0.116354426633112,0.29389131005391,0.262453790929283,26,0,0.251738177262762,FALSE,0
"ZUO1","ZUO1",0.116541220313175,0.11626443016978,0.111067044523101,0.0236853315115163,76,0,0.971312245537112,FALSE,0
"YGR221C","TOS2",0.116298273131377,0.116021406871941,0.184579531129334,0.143424305079507,25,0,0.0876291888506107,TRUE,0
"RPL11B","RPL11B",0.115735393344882,0.115458350733611,0.208285666897673,0.137456730665714,70,0,0.990479173191356,FALSE,0
"RPL19A","RPL19A",0.115366570820508,0.115089412656093,0.114203237313164,0.0831750010338764,71,0,0.994989038521766,FALSE,0
"YDR510W","SMT3",0.114008728269231,0.11373114468889,0.40946490613651,0.409026864927023,59,0,0.926839962417789,FALSE,0
"YER043C","SAH1",0.11353188957821,0.113254156602954,0.146914473855279,0.0807778754306397,78,0,0.972564985906671,FALSE,0
"YPR175W","DPB2",0.11336694471408,0.11308916006113,0.182298067213241,0.165138868415483,21,0,0.106482931412465,TRUE,0
"PDR5","PDR5",0.11321480233701,0.112936970017422,0.524820193556312,0.524760337507453,68,0,0.594738490447855,FALSE,0
"YDR086C","SSS1",0.113024730055693,0.112746838185919,0.264067869302996,0.218062367931237,33,0,0.973943000313185,FALSE,0
