"gene","strain","r2","amp","peak","reason","n_cells","pct_expressed","fit_status"
"YAR071W","AKI",0.162710968899766,0.403452165952295,86.3476257324219,0,75,0.0533333333333333,"ok"
"YAR071W","AKM",0.0339956272507276,0.0560897049687483,19.9580608714711,0,205,0.0195121951219512,"ok"
"YAR071W","ALS",NA,NA,NA,1,7,0,"too_few_timepoints"
"YAR071W","AMP",0.100838507870986,0.0952483507026864,35.0237379074097,0,62,0.0483870967741935,"ok"
"YAR071W","ANG",0.0379408082027277,0.0398738277698593,71.1780118075284,0,301,0.00996677740863787,"ok"
"YAR071W","ANH",NA,NA,NA,2,22,0,"constant_expression"
"YAR071W","ANN",0.0135405648085782,0.0728931531913516,37.9532056288286,0,384,0.0729166666666667,"ok"
"YAR071W","APQ",NA,NA,NA,2,27,0,"constant_expression"
"YAR071W","ATS",0.0625936850797817,0.109040783805314,79.5500307950107,0,184,0.0597826086956522,"ok"
"YAR071W","AVI",NA,NA,NA,2,13,0,"constant_expression"
"YAR071W","BAF",0.128540540138921,0.132942180622067,79.5679570978338,0,139,0.0359712230215827,"ok"
"YAR071W","BAG",0.0772243611445503,0.289133480699596,67.9561401930722,0,106,0.160377358490566,"ok"
"YAR071W","BAI",0.0641161343838986,0.15593859539418,87.6782302856445,0,412,0.0922330097087379,"ok"
"YAR071W","BAK",0.0312448967299949,0.224122331063096,4.47726726531982,0,376,0.101063829787234,"ok"
"YAR071W","BAL",0.0168888773281726,0.0737510649074012,65.9875564575195,0,562,0.0355871886120996,"ok"
"YAR071W","BAM",0.0234731785157386,0.0691854989413867,17.3040909333663,0,377,0.0371352785145889,"ok"
"YAR071W","BAN",0.111435062972257,0.19449938788638,79.8802469426935,0,240,0.1375,"ok"
"YAR071W","BAP",0.0823545440678632,0.205961175797418,13.6731636740945,0,235,0.174468085106383,"ok"
"YAR071W","BAQ",NA,NA,NA,1,4,0,"too_few_timepoints"
"YAR071W","BBQ",0.0498024463912466,0.0880929561100293,0.6346435546875,0,235,0.025531914893617,"ok"
"YAR071W","BCK",0.0382595436488885,0.0729816601611675,46.1782581806183,0,356,0.0140449438202247,"ok"
"YAR071W","BDB",0.0717863417582486,0.136787719316971,72.6587464592674,0,112,0.0535714285714286,"ok"
"YAR071W","BDL",0.374294375594202,0.447017875172894,84.1431579589844,0,48,0.104166666666667,"ok"
"YAR071W","BDP",0.089582511303639,0.167133629568447,86.9849624633789,0,268,0.0111940298507463,"ok"
"YAR071W","BEF",0.0164522581956861,0.0433737864224373,7.09607713872736,0,277,0.0433212996389892,"ok"
"YAR071W","BFH",NA,NA,NA,2,110,0,"constant_expression"
"YAR071W","BFP",0.038615859743825,0.086819631013473,0.790237426757812,0,254,0.0275590551181102,"ok"
"YAR071W","BGD",NA,NA,NA,2,77,0,"constant_expression"
"YAR071W","BGF",NA,NA,NA,2,101,0,"constant_expression"
"YAR071W","BHG",NA,NA,NA,2,163,0,"constant_expression"
"YAR071W","BHK",0.0504760900429793,0.0563228827362965,31.8235182328658,0,200,0.015,"ok"
"YAR071W","BHM",NA,NA,NA,2,59,0,"constant_expression"
"YAR071W","BHQ",0.0190242842148414,0.0214549222961002,45.640438079834,0,454,0.00440528634361234,"ok"
"YAR071W","BMA",0.0779459960291559,0.1712553124154,0.485160827636719,0,292,0.0171232876712329,"ok"
"YAR071W","BMB",0.036717624055383,0.0425590006582463,56.952937299555,0,279,0.014336917562724,"ok"
"YAR071W","BMC",0.0405285265025197,0.0285463416271931,77.2371344132857,0,128,0.015625,"ok"
"YAR071W","BNC",0.0299125072072398,0.110177463698531,1.71995544433594,0,243,0.0164609053497942,"ok"
"YAR071W","BNV",0.0463547219554404,0.0260388914003223,73.2907185987993,0,179,0.00558659217877095,"ok"
