"gene","n_strains_fit","mean_r2","sd_r2","median_r2","mean_amp","sd_amp","cv_amp","mean_peak","sd_peak","n_strains_total","n_not_detected","n_too_few_cells","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_null_sd","cv_amp_null_mean","cv_amp_null_sd","sd_peak_null_mean","sd_peak_null_sd","sd_z","cv_amp_z","sd_peak_z"
"YPR156C",79,0.263420094151956,0.178077826519264,0.197623039917139,0.561610760083551,0.503401101781331,0.89635230939386,79.1487312110501,9.29246304138779,84,0,5,1,0.239849699622659,0.161344097933294,0.015917306296963,0.528301046726572,0.136503109806276,9.58164201798872,1.06003976346835,1.05129148574357,2.69628481863616,-0.272800121813133
"YNL134C",78,0.145075827776367,0.191338981788848,0.0709368901946371,0.342892011052282,0.239379667565434,0.698119699058649,8.97840205155948,18.3388005465747,84,1,5,0.988095238095238,0.184544087117233,0.176195093931401,0.0144986052372794,0.776291918009689,0.236741798512606,18.3859535730573,1.55826084920814,1.0445065307736,-0.330200325595978,-0.0302600341313968
"YPL265W",78,0.150958242672535,0.197723778152036,0.0701166784155632,0.386691254085347,0.432273374964625,1.11787729977782,2.84130747368628,18.7349092600645,84,1,5,0.988095238095238,0.185170725466866,0.174123547779514,0.0226462649615051,0.771315401701423,0.18140040731456,18.5284682625445,1.69531798730448,1.04212462464068,1.91048026411226,0.121771254163473
"YDR261C",78,0.143271955984992,0.186035524321852,0.0680008710396665,0.410527573734746,0.390078053051106,0.950187217638996,46.3639736088594,21.6210005464419,84,1,5,0.988095238095238,0.270740573810432,0.16772047829917,0.0178980078048335,0.761979617653655,0.233504934677713,18.8008110344948,1.99078817801794,1.0233008177444,0.806011231604627,1.41661957966563
"YIL131C",79,0.208478528716235,0.174376353922501,0.137056981348594,0.541688118358817,0.61812273724104,1.14110447745061,51.4062544347656,12.4658178906126,84,0,5,1,0.249873503979831,0.160017632596181,0.0140700701282961,0.630033323722831,0.182075540661572,13.4370383173707,0.724935504588381,1.02051526363351,2.80691822674696,-1.33973356334577
"YGR124W",79,0.159503581944411,0.184266161120944,0.0868120452427963,0.930289189415205,0.939934636410266,1.01036822431649,7.26488182070756,17.4413445967311,84,0,5,1,0.834914956818457,0.167655630196767,0.0164683623761524,0.720060736400952,0.168460482959174,18.0878939320382,1.64371724270639,1.00863282849727,1.72329725533253,-0.393345837415778
"YKR046C",79,0.197284790782076,0.183270774458352,0.127275972523144,0.921814417215101,0.695724012040632,0.754733272823492,80.1426002655768,16.793201202071,84,0,5,1,0.653569085180056,0.166708682405736,0.0165256993977536,0.608235154437648,0.118887751674397,15.2778099224857,1.00812567743355,1.00220218545591,1.23223895079675,1.50317694857565
"YDR302W",79,0.149776847104867,0.18485855589416,0.0781709651111815,0.529817924797412,0.461443589863236,0.870947486421264,46.820256851195,21.9777445208041,84,0,5,1,0.348892265163804,0.169368941807096,0.0155454267756932,0.727231527636064,0.143434463965348,21.2105305009838,1.79044627088396,0.9964097036746,1.00196253265826,0.428504352404557
"YNL181W",79,0.184228780897462,0.189025154665515,0.115683293600974,0.510362494501692,0.381539077242705,0.747584474472861,20.5217720663033,17.5104039484259,84,0,5,1,0.308647929866848,0.167952162066707,0.0211655683182456,0.657059924809076,0.206544901868344,15.3831790066888,0.937552179257125,0.9956261170007,0.438280242431193,2.26891365494204
"YKR091W",77,0.140264196377743,0.190022515316623,0.0722310603139149,0.376177733019234,0.442061975812504,1.17514126172349,15.0151864310349,26.3789007097064,84,2,5,0.976190476190476,0.149174289550194,0.170589916636078,0.0195416915914858,0.880732248048613,0.317517623030916,25.2535692255058,1.9674001961924,0.994417427456044,0.927221018047899,0.571989108458212
"YDR400W",79,0.187191072147822,0.185766100490102,0.126650740079837,0.443378077704854,0.271174884555223,0.611610943777283,28.2756169384323,14.2331022165526,84,0,5,1,0.284412038283952,0.163363932390697,0.0225311910303136,0.665955708868092,0.207506797825232,13.3092057732672,0.861911640659805,0.994273585859914,-0.261893902563035,1.07191549539589
"YOL016C",78,0.148990941850181,0.193156295491514,0.0813820984662432,0.381033200511426,0.337443975283589,0.885602553348814,5.0008515685652,20.8494785253763,84,1,5,0.988095238095238,0.175634519432394,0.175946077969697,0.0177103598664549,0.838035333861028,0.261376367198486,18.0269082383226,1.59688784891469,0.9717598993804,0.18198745356218,1.76754447030954
"YKL116C",78,0.162722726766586,0.188153552525136,0.110610082621805,0.240567634689636,0.186360060105507,0.774668048534195,7.38091942712679,13.7765232699655,84,1,5,0.988095238095238,0.0942644321551858,0.158545561570514,0.0307740549391941,0.768135636368347,0.192527958513228,13.1980633600823,1.1478855030287,0.962108861283444,0.0339296807398475,0.503935199422731
"YGR014W",79,0.174040370319431,0.188248259924747,0.100900363808908,0.704802471053206,0.973179837695205,1.38078380491623,42.6658012207219,17.1671916615664,84,0,5,1,0.355624058511912,0.172784378190308,0.0161377353706358,0.730747037870905,0.248528946520576,17.1927658573724,1.43211046792332,0.958243606012826,2.61553745004712,-0.0178576976977977
"YOL101C",75,0.132582921469341,0.180737306169982,0.0651262409854951,0.222371532379209,0.211362080063116,0.950490729643765,3.17235117909276,18.2714277674956,84,4,5,0.952380952380952,0.079336701493186,0.154560339617111,0.0275926806710463,0.856673507105329,0.278050940596581,19.5844246408382,1.95070162068408,0.948692403791677,0.337410196624917,-0.67308954861182
"YKL183W",79,0.183168919646014,0.184443048713188,0.121241793382711,0.574325873897527,0.326216226053608,0.567998484623057,79.1343444712968,15.9641371527985,84,0,5,1,0.397364985509129,0.169319184407761,0.0159804122195799,0.638051958200937,0.188103041409605,15.5800025270884,1.12007018702324,0.946400136468081,-0.372420738404404,0.342955852374805
