"condition","gene","r","cor_category"
"YPD","YDR162C",0.354931566045801,"low (<0.4)"
"YPD","YDR163W",0.143497048528188,"low (<0.4)"
"YPD","YDR164C",-0.0478592946554526,"low (<0.4)"
"YPD","YDR165W",0.368865628042843,"low (<0.4)"
"YPD","YDR166C",0.0625365141187926,"low (<0.4)"
"YPD","TAF10",0.271738072054528,"low (<0.4)"
"YPD","CDC37",0.401777020447907,"moderate (0.4–0.7)"
"YPD","YDR169C",0.125763044209379,"low (<0.4)"
"YPD","YDR170C",0.608203505355404,"moderate (0.4–0.7)"
"YPD","YDR171W",0.469765781529399,"moderate (0.4–0.7)"
"YPD","SUP35",0.333763388510224,"low (<0.4)"
"YPD","ARG82",0.376525593959661,"low (<0.4)"
"YPD","HMO1",0.649172346640701,"moderate (0.4–0.7)"
"YPD","YDR175C",0.440068159688413,"moderate (0.4–0.7)"
"YPD","NGG1",0.0201722620763173,"low (<0.4)"
"YPD","YDR177W",0.566674780915287,"moderate (0.4–0.7)"
"YPD","SDH4",0.666532780761982,"moderate (0.4–0.7)"
"YPD","YDR179W-A",0.314881082884993,"low (<0.4)"
"YPD","YDR180W",0.0655310706625491,"low (<0.4)"
"YPD","YDR181C",-0.0968472313931268,"low (<0.4)"
"YPD","CDC1",0.260735150925024,"low (<0.4)"
"YPD","YDR182W-A",0.357782661267343,"low (<0.4)"
"YPD","YDR183W",0.147322297955209,"low (<0.4)"
"YPD","ATC1",0.122736124634859,"low (<0.4)"
"YPD","UPS3",0.168546791133392,"low (<0.4)"
"YPD","YDR186C",0.232511152092622,"low (<0.4)"
"YPD","CCT6",0.565262901655307,"moderate (0.4–0.7)"
"YPD","YDR189W",0.30927458617332,"low (<0.4)"
"YPD","RVB1",0.0737341772151899,"low (<0.4)"
"YPD","YDR191W",0.363973124459244,"low (<0.4)"
"YPD","NUP42",0.426717174306801,"moderate (0.4–0.7)"
"YPD","YDR194C",0.560349077110408,"moderate (0.4–0.7)"
"YPD","YDR195W",0.176482046347103,"low (<0.4)"
"YPD","YDR196C",0.366367243712342,"low (<0.4)"
"YPD","CBS2",0.114681467450422,"low (<0.4)"
"YPD","YDR198C",0.451082061527555,"moderate (0.4–0.7)"
"YPD","VPS64",0.216724310066513,"low (<0.4)"
"YPD","YDR201W",0.163680623174294,"low (<0.4)"
"YPD","YDR202C",0.0140719055834758,"low (<0.4)"
"YPD","YDR204W",0.131986368062317,"low (<0.4)"
